IP:Port,Loss,Latency
188.114.98.242:1387,0%,2.89
188.114.96.244:859,0%,2.90
188.114.96.231:2408,0%,2.90
188.114.97.155:3476,0%,2.91
162.159.195.34:8886,0%,2.91
162.159.195.133:890,0%,2.91
188.114.98.237:1387,0%,2.92
162.159.192.221:8854,0%,2.92
188.114.98.207:939,0%,2.92
188.114.96.176:3581,0%,2.92
162.159.192.73:908,0%,2.94
188.114.99.130:854,0%,2.94
162.159.195.165:4233,0%,2.94
162.159.195.187:8854,0%,2.95
162.159.192.115:7156,0%,2.95
188.114.98.78:894,0%,2.95
188.114.99.36:4500,0%,2.95
188.114.96.51:8854,0%,2.96
188.114.97.14:943,0%,2.96
188.114.97.112:8742,0%,2.96
188.114.96.199:1701,0%,2.96
188.114.96.203:3854,0%,2.97
188.114.97.157:908,0%,2.97
188.114.99.146:943,0%,2.97
162.159.192.135:1070,0%,2.98
188.114.99.6:942,0%,2.98
162.159.192.255:955,0%,2.99
188.114.99.63:946,0%,2.99
188.114.97.12:1070,0%,2.99
162.159.195.118:8319,0%,2.99
188.114.99.119:7156,0%,2.99
188.114.96.53:864,0%,3.00
162.159.192.172:988,0%,3.00
188.114.99.62:7559,0%,3.00
162.159.192.251:1018,0%,3.00
188.114.97.30:2506,0%,3.00
162.159.192.239:500,0%,3.01
188.114.96.107:7156,0%,3.01
162.159.192.34:955,0%,3.01
188.114.99.7:2371,0%,3.01
188.114.98.123:4500,0%,3.01
188.114.98.43:7156,0%,3.01
188.114.97.95:8886,0%,3.01
188.114.96.49:955,0%,3.01
162.159.192.71:5279,0%,3.02
188.114.97.68:878,0%,3.02
162.159.192.33:1018,0%,3.02
162.159.195.169:4500,0%,3.03
188.114.96.170:854,0%,3.03
162.159.195.60:934,0%,3.03
162.159.192.244:7559,0%,3.03
188.114.97.1:1018,0%,3.04
188.114.96.160:8886,0%,3.04
188.114.98.220:1010,0%,3.04
188.114.97.85:942,0%,3.05
162.159.192.155:880,0%,3.06
162.159.195.57:2408,0%,3.06
188.114.99.217:7559,0%,3.06
188.114.98.95:1843,0%,3.07
162.159.195.163:1014,0%,3.07
162.159.195.56:1018,0%,3.08
188.114.99.24:1701,0%,3.08
188.114.96.10:1014,0%,3.08
188.114.98.159:854,0%,3.08
162.159.195.248:859,0%,3.09
188.114.98.130:1014,0%,3.09
188.114.98.201:3581,0%,3.10
188.114.96.96:1180,0%,3.10
188.114.98.52:942,0%,3.10
162.159.192.10:8886,0%,3.10
162.159.192.160:939,0%,3.10
162.159.195.88:7152,0%,3.11
162.159.192.215:946,0%,3.11
188.114.96.219:1387,0%,3.11
188.114.97.75:1010,0%,3.11
188.114.97.235:942,0%,3.11
162.159.192.183:8854,0%,3.12
188.114.99.32:3854,0%,3.12
188.114.97.134:4177,0%,3.12
188.114.99.35:854,0%,3.13
188.114.97.28:500,0%,3.13
188.114.99.154:8854,0%,3.13
188.114.96.132:3854,0%,3.14
188.114.99.208:1180,0%,3.14
188.114.98.105:894,0%,3.14
188.114.99.223:1180,0%,3.14
162.159.195.163:7281,0%,3.14
188.114.96.29:4500,0%,3.15
188.114.97.149:2408,0%,3.15
162.159.195.92:8854,0%,3.16
162.159.192.86:928,0%,3.16
188.114.99.29:943,0%,3.16
188.114.98.80:1010,0%,3.16
188.114.97.197:2408,0%,3.17
162.159.192.58:500,0%,3.17
188.114.96.86:4500,0%,3.18
188.114.98.154:1180,0%,3.19
188.114.99.158:854,0%,3.19
188.114.97.255:7559,0%,3.19
188.114.99.68:955,0%,3.20
162.159.192.96:1018,0%,3.20
188.114.96.69:1843,0%,3.20
162.159.195.139:934,0%,3.21
188.114.99.128:880,0%,3.21
188.114.97.60:908,0%,3.22
162.159.192.59:955,0%,3.22
162.159.195.185:946,0%,3.22
188.114.98.182:7152,0%,3.23
162.159.192.196:1014,0%,3.23
162.159.195.194:3138,0%,3.23
188.114.96.243:8319,0%,3.23
162.159.192.28:1843,0%,3.24
188.114.96.108:1070,0%,3.24
188.114.97.243:3138,0%,3.24
188.114.97.14:890,0%,3.24
188.114.97.62:880,0%,3.24
188.114.99.127:942,0%,3.24
188.114.96.99:894,0%,3.25
188.114.96.39:934,0%,3.25
162.159.195.153:1387,0%,3.25
188.114.99.60:934,0%,3.25
188.114.98.11:1010,0%,3.25
188.114.96.229:945,0%,3.25
162.159.195.186:7156,0%,3.25
188.114.99.106:5279,0%,3.25
188.114.97.189:8742,0%,3.26
188.114.96.175:1018,0%,3.26
188.114.98.7:7152,0%,3.26
188.114.97.153:1070,0%,3.27
162.159.192.173:3138,0%,3.27
188.114.99.63:880,0%,3.27
188.114.96.103:3854,0%,3.27
162.159.195.195:1387,0%,3.27
188.114.98.26:894,0%,3.29
188.114.97.57:4198,0%,3.29
188.114.99.206:7152,0%,3.29
188.114.98.68:3854,0%,3.30
162.159.195.2:939,0%,3.30
188.114.99.137:859,0%,3.30
188.114.97.182:968,0%,3.30
188.114.98.33:1010,0%,3.30
188.114.97.34:3854,0%,3.31
188.114.98.212:945,0%,3.31
188.114.99.81:1843,0%,3.31
188.114.97.34:1002,0%,3.31
188.114.97.143:4233,0%,3.32
162.159.195.172:854,0%,3.32
188.114.99.92:4177,0%,3.32
188.114.97.0:955,0%,3.33
188.114.98.232:894,0%,3.33
188.114.97.198:1018,0%,3.33
188.114.98.34:854,0%,3.33
188.114.98.62:1014,0%,3.33
162.159.195.3:8886,0%,3.34
188.114.98.74:988,0%,3.34
