IP:Port,Loss,Latency
188.114.97.62:2371,0%,2.84
188.114.99.151:4177,0%,2.85
188.114.98.151:955,0%,2.85
162.159.195.242:859,0%,2.85
188.114.99.236:854,0%,2.85
162.159.195.149:1014,0%,2.85
188.114.99.235:8854,0%,2.85
162.159.195.21:4198,0%,2.86
188.114.98.102:3854,0%,2.86
188.114.96.229:2506,0%,2.86
188.114.97.104:1701,0%,2.86
162.159.195.201:939,0%,2.86
188.114.97.55:4500,0%,2.86
188.114.99.176:1018,0%,2.86
162.159.195.148:4198,0%,2.86
162.159.192.109:968,0%,2.86
162.159.195.43:1701,0%,2.86
188.114.96.253:3476,0%,2.87
188.114.99.56:878,0%,2.87
188.114.97.48:3476,0%,2.87
188.114.96.157:3138,0%,2.87
188.114.96.12:878,0%,2.87
162.159.195.155:890,0%,2.87
188.114.96.189:894,0%,2.88
188.114.97.21:945,0%,2.88
162.159.195.215:1070,0%,2.88
162.159.195.180:939,0%,2.88
188.114.97.199:3476,0%,2.88
162.159.195.162:939,0%,2.88
188.114.97.84:2371,0%,2.88
162.159.192.241:4198,0%,2.88
188.114.97.184:4198,0%,2.88
162.159.195.49:2371,0%,2.89
162.159.192.108:1843,0%,2.89
162.159.195.230:8319,0%,2.89
188.114.98.187:8886,0%,2.89
188.114.97.226:1002,0%,2.89
162.159.192.251:5956,0%,2.89
162.159.192.84:2408,0%,2.90
162.159.192.106:878,0%,2.90
188.114.99.70:968,0%,2.90
162.159.195.45:946,0%,2.90
188.114.97.61:968,0%,2.90
162.159.192.247:5279,0%,2.90
188.114.97.242:988,0%,2.91
188.114.98.69:7156,0%,2.91
162.159.192.12:4177,0%,2.91
188.114.99.104:1014,0%,2.91
188.114.96.54:1843,0%,2.91
188.114.99.247:3476,0%,2.91
188.114.96.180:2371,0%,2.92
188.114.97.93:903,0%,2.92
188.114.98.162:864,0%,2.92
162.159.192.86:5956,0%,2.92
188.114.99.155:903,0%,2.92
162.159.195.82:934,0%,2.92
162.159.192.238:3581,0%,2.92
188.114.98.115:7152,0%,2.93
188.114.98.187:3581,0%,2.93
188.114.96.243:864,0%,2.93
188.114.98.146:8319,0%,2.93
162.159.192.62:943,0%,2.93
188.114.98.116:934,0%,2.93
188.114.96.214:908,0%,2.94
188.114.98.41:945,0%,2.94
162.159.192.128:890,0%,2.94
